/* DATA DESCRIPTION:							
Citation:	Herbert	" Timothy D; Peterson"	" Laura C; Lawrence"	" Kira T; Liu"	 Zhonghui (2017): Plio-Pleistocene tropical alkenone SST reconstructions for ODP Site 117-722. PANGAEA	 https://doi.org/10.1594/PANGAEA.874749	 
	In supplement to: Herbert	 TD et al. (2010): Tropical Ocean Temperatures Over the Past 3.5 Million Years. Science	 328(5985)	 1530-1534	 https://doi.org/10.1126/science.1185435		
Other version:	Plio-Pleistocene Tropical Alkenone SST Reconstructions (URI: https://www.ncdc.noaa.gov/paleo/study/10493)						
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)						
Coverage:	LATITUDE: 16.621800 * LONGITUDE: 59.795300						
	DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00						
	MINIMUM DEPTH	 sediment/rock: 0.040 m * MAXIMUM DEPTH	 sediment/rock: 101.520 m				
Event(s):	"117-722 * LATITUDE: 16.621800 * LONGITUDE: 59.795300 * DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00 * ELEVATION: -2033.5 m * Penetration: 845.6 m * Recovery: 611.8 m * LOCATION: Arabian Sea * CAMPAIGN: Leg117 (URI: https://doi.org/10.2973/odp.proc.ir.117.1989) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 88 cores; 845.1 m cored; 0 m drilled; 72.4% recovery"						
Parameter(s):	DEPTH	 sediment/rock [m] (Depth) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * COMMENT: mcd			
	AGE [ka BP] (Age) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)				
	Alkenone	 unsaturation index UK'37 (UK'37) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)			
	Sea surface temperature	 annual mean [¡C] (SST (1-12)) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * METHOD: SST	 from UK'37		
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)						
Size:	3360 data points						
*/							
Depth [m]	Age [ka BP]	UK'37	SST (1-12) [¡C]		
41.79	1175.98	0.954	26.92		
41.85	1177.54	0.954	26.92		
41.91	1179.1	0.961	27.11		
41.97	1180.64	0.972	27.44		
42.03	1182.05	0.974	27.49		
42.09	1183.46	0.974	27.5		
42.15	1184.87	0.967	27.28		
42.21	1186.28	0.966	27.26		
42.27	1187.69	0.967	27.29		
42.33	1189.1	0.965	27.24		
42.39	1190.27	0.961	27.13		
42.45	1191.22	0.956	26.96		
42.51	1192.16	0.959	27.07		
42.57	1193.1	0.968	27.31		
42.63	1194.05	0.969	27.34		
42.69	1194.99	0.947	26.72		
42.75	1195.94	0.949	26.76		
42.81	1196.88	0.945	26.65		
42.87	1197.83	0.925	26.07		
42.93	1198.77	0.924	26.03		
42.99	1199.68	0.924	26.02		
43.05	1200.52	0.928	26.14		
43.11	1201.36	0.93	26.22		
43.17	1202.19	0.938	26.43		
43.23	1203.03	0.927	26.13		
43.29	1203.87	0.93	26.2		
43.35	1204.71	0.928	26.14		
43.41	1205.54	0.924	26.04		
43.47	1206.38	0.943	26.6		
43.53	1207.22	0.952	26.85		
43.59	1208.67	0.95	26.79		
43.65	1210.44	0.935	26.34		
43.71	1212.2	0.934	26.33		
43.77	1213.96	0.927	26.12		
43.82	1215.43	0.929	26.18		
43.88	1217.83	0.927	26.13		
43.94	1221.52	0.93	26.21		
44	1225.21	0.937	26.41		
44.06	1227.06	0.956	26.97		
44.12	1228.9	0.969	27.34		
44.18	1230.75	0.981	27.71		
44.24	1232.6	0.98	27.68		
44.3	1234.45	0.98	27.67		
44.36	1236.3	0.98	27.68		
44.42	1238.15	0.982	27.74		
44.48	1240	0.984	27.78		
44.54	1241.26	0.983	27.77		
44.6	1242.53	0.977	27.59		
44.66	1243.79	0.948	26.73		
44.72	1245.05	0.916	25.78		
44.78	1246.32	0.898	25.25		
44.84	1247.58	0.888	24.96		
44.9	1248.84	0.89	25.03		
44.96	1250.11	0.896	25.21		
45.02	1251.37	0.896	25.22		
45.08	1253.17	0.88	24.74		
45.14	1255.51	0.918	25.84		
45.2	1257.86	0.913	25.72		
45.26	1260.2	0.892	25.09		
45.32	1262.54	0.909	25.6		
45.38	1264.89	0.923	25.99		
45.44	1267.23	0.911	25.65		
45.5	1269.57	0.911	25.64		
45.56	1271.92	0.933	26.29		
45.62	1274.26	0.944	26.62		
45.68	1276.6	0.933	26.29		
45.74	1278.95	0.926	26.08		
45.8	1281.29	0.929	26.18		
45.86	1283.63	0.936	26.38		
45.92	1285.98	0.941	26.52		
45.98	1288.32	0.953	26.88		
46	1289.1	0.944	26.62		
46.06	1290.43	0.937	26.4		
46.12	1291.75	0.933	26.28		
46.18	1293.08	0.924	26.02		
46.24	1294.4	0.933	26.29		
46.3	1295.73	0.92	25.91		
46.36	1297.06	0.922	25.96		
46.42	1298.38	0.94	26.51		
46.48	1299.71	0.935	26.35		
46.54	1301.03	0.936	26.38		
46.6	1302.36	0.933	26.3		
46.66	1303.69	0.943	26.58		
46.72	1305.01	0.947	26.71		
46.78	1306.34	0.946	26.68		
46.84	1307.48	0.942	26.57		
46.9	1308.45	0.952	26.86		
46.96	1309.42	0.957	26.99		
47.02	1310.39	0.948	26.73		
47.08	1311.35	0.95	26.78		
47.14	1312.32	0.958	27.02		
47.19	1313.13	0.962	27.16		
47.26	1314.26	0.964	27.21		
47.32	1315.23	0.962	27.16		
47.38	1316.19	0.962	27.15		
47.44	1317.16	0.954	26.9		
47.5	1318.13	0.946	26.69		
47.56	1319.1	0.94	26.51		
47.62	1320.06	0.941	26.53		
47.68	1321.03	0.94	26.5		
47.74	1322	0.932	26.26		
47.8	1324.67	0.931	26.23		
47.86	1327.33	0.931	26.24		
47.92	1330	0.921	25.94		
47.98	1332.67	0.918	25.85		
48.04	1335.33	0.919	25.88		
48.1	1338	0.918	25.85		
48.16	1340.67	0.918	25.84		
48.22	1343.5	0.925	26.07		
48.28	1346.5	0.959	27.06		
48.34	1349.5	0.963	27.18		
48.4	1352.5	0.973	27.46		
48.46	1355.5	0.968	27.33		
48.52	1358.3	0.98	27.67		
48.58	1360.1	0.973	27.48		
48.64	1361.9	0.974	27.51		
48.7	1363.7	0.975	27.52		
48.76	1365.5	0.973	27.47		
48.82	1367.3	0.971	27.41		
48.88	1369.1	0.948	26.73		
48.94	1370.9	0.931	26.24		
49	1372.7	0.926	26.1		
49.06	1374.5	0.913	25.71		
49.12	1376.3	0.913	25.7		
49.18	1378.1	0.895	25.17		
49.24	1379.9	0.907	25.52		
49.3	1381.7	0.918	25.86		
49.36	1383.5	0.94	26.5		
49.42	1385.38	0.943	26.6		
49.48	1387.69	0.929	26.17		
49.54	1390	0.946	26.67		
49.6	1392.31	0.954	26.91		
49.66	1394.62	0.959	27.06		
49.72	1396.92	0.959	27.07		
49.78	1399.23	0.96	27.08		
49.84	1401.69	0.951	26.81		
49.9	1404.15	0.945	26.66		
49.96	1406.61	0.94	26.51		
50.02	1409.08	0.933	26.3		
50.08	1411.54	0.934	26.31		
50.14	1414	0.941	26.54		
50.2	1416.46	0.949	26.75		
50.26	1418.92	0.941	26.54		
50.32	1421.38	0.94	26.51		
50.38	1423.85	0.945	26.65		
50.44	1426.31	0.964	27.2		
50.5	1428.77	0.977	27.6		
50.56	1431.23	0.985	27.81		
50.62	1433.69	0.979	27.66		
50.68	1436.15	0.975	27.54		
50.74	1438.62	0.973	27.47		
50.8	1441.08	0.978	27.62		
50.86	1443.54	0.98	27.68		
50.92	1446	0.979	27.65		
50.98	1448.55	0.964	27.21		
51.04	1451.1	0.978	27.63		
51.1	1453.66	0.961	27.12		
51.16	1456.21	0.949	26.76		
51.22	1458.76	0.944	26.62		
51.28	1461.31	0.934	26.32		
51.34	1463.86	0.94	26.49		
51.4	1466.41	0.941	26.53		
51.46	1468.97	0.948	26.74		
51.52	1471.52	0.955	26.93		
51.58	1474.07	0.966	27.26		
51.64	1476.62	0.964	27.2		
51.7	1479.17	0.961	27.12		
51.76	1481.72	0.968	27.31		
51.82	1484.28	0.979	27.66		
51.88	1486.83	0.97	27.37		
51.94	1489.38	0.969	27.36		
52	1491.93	0.975	27.54		
52.06	1494.48	0.974	27.5		
52.12	1497.03	0.971	27.42		
52.18	1499.59	0.963	27.17		
52.24	1502.14	0.956	26.97		
52.3	1504.69	0.957	26.99		
52.36	1507.24	0.958	27.03		
52.42	1509.79	0.941	26.52		
52.48	1512.34	0.943	26.58		
52.54	1514.9	0.951	26.83		
52.6	1517.45	0.958	27.03		
52.66	1520	0.962	27.16		
52.72	1522.63	0.942	26.57		
52.78	1525.26	0.943	26.6		
52.84	1527.88	0.937	26.4		
52.9	1530.51	0.923	26.01		
52.96	1533.14	0.92	25.92		
53.02	1535.77	0.921	25.94		
53.08	1538.4	0.922	25.98		
53.14	1541.02	0.923	25.99		
53.2	1543.65	0.921	25.94		
53.26	1546.99	0.933	26.29		
53.32	1550.42	0.947	26.71		
53.38	1553.86	0.953	26.88		
53.44	1557.34	0.956	26.96		
53.5	1560.86	0.957	27		
53.56	1564.37	0.951	26.82		
53.62	1567.79	0.95	26.79		
53.68	1570.73	0.949	26.75		
53.74	1573.67	0.94	26.51		
53.8	1576.61	0.941	26.52		
53.86	1579.3	0.937	26.42		
53.92	1581.95	0.942	26.57		
53.98	1584.59	0.967	27.28		
54.04	1586.73	0.967	27.29		
54.1	1588.36	0.954	26.9		
54.16	1589.99	0.938	26.45		
54.22	1591.63	0.923	26		
54.28	1593.26	0.933	26.3		
54.34	1594.89	0.941	26.52		
54.4	1596.52	0.944	26.62		
54.47	1598.42	0.937	26.41		
54.53	1600.05	0.93	26.2		
54.59	1601.68	0.929	26.18		
54.65	1603.55	0.929	26.19		
54.71	1605.65	0.934	26.32		
54.77	1607.75	0.943	26.59		
54.83	1609.85	0.95	26.8		
54.89	1611.95	0.951	26.82		
54.95	1614.05	0.956	26.97		
55.01	1616.15	0.954	26.91		
55.07	1618.25	0.941	26.52		
55.13	1620.35	0.943	26.6		
55.19	1622.45	0.937	26.4		
55.25	1624.55	0.93	26.2		
55.31	1626.65	0.933	26.28		
55.37	1628.75	0.94	26.51		
55.43	1630.85	0.942	26.55		
55.49	1634.4	0.936	26.37		
55.55	1638.24	0.92	25.9		
55.61	1642.08	0.899	25.3		
55.67	1645.92	0.881	24.77		
55.73	1649.76	0.874	24.57		
55.79	1653.6	0.871	24.48		
55.85	1657.11	0.872	24.51		
55.91	1660.63	0.876	24.63		
55.97	1664.14	0.872	24.5		
56.03	1667.65	0.901	25.36		
56.09	1671.16	0.893	25.13		
56.15	1674.68	0.906	25.49		
56.21	1678.19	0.932	26.26		
56.27	1681.7	0.949	26.75		
56.33	1685.22	0.946	26.68		
56.39	1688.73	0.967	27.29		
56.54	1696.58	0.965	27.24		
56.6	1699.66	0.95	26.78		
56.66	1702.74	0.949	26.75		
56.72	1705.82	0.949	26.75		
56.78	1708.9	0.941	26.52		
56.84	1711.98	0.909	25.6		
56.9	1715.06	0.91	25.62		
56.96	1718.15	0.912	25.67		
57.02	1720.97	0.917	25.83		
57.08	1723.3	0.912	25.68		
57.14	1725.62	0.915	25.77		
57.2	1727.94	0.917	25.82		
57.26	1730.27	0.93	26.2		
57.32	1732.59	0.935	26.34		
57.38	1734.91	0.933	26.29		
57.44	1737.23	0.925	26.06		
57.5	1739.56	0.923	25.99		
57.56	1741.88	0.923	26		
57.62	1744.2	0.939	26.46		
57.68	1746.52	0.956	26.96		
57.74	1748.85	0.941	26.54		
57.8	1751.17	0.926	26.1		
57.86	1753.49	0.927	26.11		
57.92	1755.82	0.92	25.91		
57.98	1758.14	0.895	25.19		
58.04	1760.38	0.929	26.19		
58.1	1762.55	0.94	26.5		
58.16	1764.72	0.964	27.21		
58.22	1766.89	0.959	27.06		
58.28	1778.6	0.958	27.03		
58.34	1780.3	0.955	26.93		
58.4	1782.01	0.956	26.96		
58.46	1783.71	0.956	26.97		
58.52	1785.42	0.955	26.94		
58.58	1787.12	0.948	26.73		
58.64	1788.83	0.952	26.85		
58.7	1790.53	0.955	26.94		
58.76	1792.24	0.952	26.85		
58.82	1793.94	0.932	26.27		
58.88	1795.65	0.93	26.22		
58.94	1797.35	0.93	26.2		
59	1799.06	0.924	26.04		
59.06	1800.76	0.922	25.97		
59.12	1802.47	0.917	25.81		
59.18	1804.17	0.911	25.64		
59.24	1805.88	0.927	26.13		
59.3	1807.58	0.945	26.66		
59.36	1809.29	0.964	27.21		
59.42	1811	0.962	27.14		
59.48	1813.05	0.95	26.79		
59.54	1815.11	0.944	26.61		
59.6	1817.16	0.945	26.64		
59.66	1819.21	0.941	26.53		
59.72	1821.27	0.95	26.78		
59.78	1823.32	0.95	26.8		
59.84	1825.38	0.938	26.43		
59.9	1827.43	0.912	25.69		
59.96	1829.48	0.915	25.76		
60.02	1831.54	0.913	25.71		
60.08	1833.59	0.92	25.91		
60.14	1835.64	0.92	25.9		
60.2	1837.7	0.926	26.08		
60.26	1839.75	0.933	26.28		
60.32	1841.8	0.945	26.66		
60.38	1843.86	0.94	26.51		
60.44	1845.91	0.923	26.01		
60.5	1847.96	0.913	25.72		
60.56	1850.02	0.932	26.27		
60.62	1852.07	0.944	26.63		
60.68	1854.13	0.943	26.58		
60.74	1856.18	0.946	26.69		
60.8	1858.23	0.943	26.59		
60.86	1860.29	0.94	26.51		
60.92	1862.34	0.943	26.6		
60.98	1864.39	0.944	26.63		
61.04	1866.45	0.934	26.32		
61.1	1868.5	0.937	26.4		
61.16	1870.55	0.94	26.5		
61.22	1872.61	0.93	26.2		
61.28	1874.66	0.918	25.86		
61.34	1876.71	0.917	25.82		
61.4	1878.77	0.918	25.84		
61.46	1880.82	0.922	25.97		
61.52	1882.88	0.929	26.18		
61.58	1884.93	0.934	26.31		
61.64	1886.98	0.923	26.01		
61.7	1889.04	0.921	25.93		
61.76	1891.09	0.94	26.5		
61.82	1893.14	0.929	26.19		
61.88	1895.2	0.922	25.97		
61.94	1897.25	0.92	25.92		
62.06	1901.36	0.934	26.32		
62.12	1903.41	0.952	26.86		
62.18	1905.46	0.948	26.74		
62.24	1907.52	0.942	26.55		
62.3	1909.57	0.948	26.73		
62.36	1911.63	0.949	26.75		
62.42	1913.68	0.937	26.42		
62.48	1915.73	0.935	26.34		
62.54	1917.79	0.942	26.55		
62.6	1919.84	0.941	26.52		
62.66	1921.89	0.94	26.51		
62.72	1923.95	0.958	27.03		
62.78	1926	0.959	27.05		
62.84	1928.71	0.947	26.71		
62.9	1931.43	0.945	26.64		
62.96	1934.14	0.95	26.8		
63.02	1936.86	0.952	26.84		
63.08	1939.57	0.961	27.11		
63.14	1942.29	0.954	26.91		
63.2	1945	0.934	26.33		
63.26	1949.09	0.931	26.24		
63.32	1953.18	0.929	26.18		
63.38	1957.27	0.951	26.82		
63.44	1961.36	0.951	26.83		
63.5	1965.45	0.964	27.21		
63.56	1969.55	0.952	26.85		
63.62	1973.64	0.954	26.91		
63.68	1977.73	0.959	27.07		
63.74	1981.82	0.97	27.39		
63.8	1985.91	0.971	27.42		
63.86	1990	0.974	27.51		
63.92	1993.36	0.971	27.41		
63.98	1996.73	0.97	27.39		
64.04	2000.09	0.96	27.08		
64.1	2003.45	0.954	26.91		
64.16	2006.82	0.949	26.75		
64.22	2010.18	0.947	26.7		
64.28	2013.55	0.947	26.72		
64.34	2016.91	0.948	26.73		
64.4	2020.27	0.953	26.87		
64.46	2023.64	0.957	27		
64.52	2027	0.952	26.86		
64.58	2030.08	0.947	26.7		
64.64	2033.15	0.944	26.63		
64.7	2036.23	0.935	26.34		
64.76	2039.31	0.928	26.14		
64.82	2042.38	0.93	26.21		
64.88	2045.46	0.93	26.21		
64.94	2048.54	0.932	26.25		
65	2051.62	0.91	25.63		
65.06	2054.69	0.915	25.75		
65.12	2057.77	0.911	25.66		
65.18	2060.85	0.917	25.82		
65.24	2063.92	0.902	25.38		
65.3	2067	0.905	25.46		
65.36	2070.51	0.903	25.42		
65.42	2074.03	0.913	25.72		
65.48	2077.54	0.91	25.63		
65.54	2081.06	0.909	25.58		
65.6	2084.57	0.904	25.45		
65.66	2088.08	0.906	25.49		
65.72	2091.6	0.919	25.89		
65.78	2095.11	0.933	26.29		
65.84	2098.63	0.942	26.56		
65.9	2101.08	0.934	26.33		
65.93	2102.31	0.924	26.02		
66	2105.17	0.913	25.72		
66.06	2107.63	0.915	25.76		
66.11	2109.67	0.917	25.83		
66.17	2112.13	0.928	26.14		
66.23	2114.58	0.938	26.44		
66.29	2117.04	0.957	27.01		
66.35	2119.49	0.952	26.85		
66.41	2121.18	0.949	26.75		
66.48	2122.97	0.959	27.06		
66.54	2124.51	0.962	27.15		
66.59	2125.79	0.967	27.29		
66.645	2127.2	0.973	27.47		
66.71	2128.86	0.976	27.56		
66.785	2130.78	0.978	27.63		
66.79	2130.91	0.974	27.51		
66.85	2136	0.975	27.52		
66.91	2137.42	0.975	27.53		
66.97	2138.85	0.973	27.46		
67.03	2140.27	0.968	27.32		
67.09	2141.7	0.959	27.07		
67.15	2143.12	0.954	26.92		
67.21	2144.55	0.953	26.87		
67.27	2145.97	0.949	26.75		
67.33	2147.39	0.915	25.77		
67.39	2148.82	0.92	25.9		
67.45	2150.24	0.909	25.59		
67.51	2151.67	0.895	25.18		
67.57	2153.09	0.893	25.11		
67.63	2154.52	0.903	25.4		
67.69	2155.94	0.909	25.59		
67.75	2157.36	0.907	25.53		
67.81	2158.79	0.911	25.65		
67.87	2160.21	0.926	26.09		
67.93	2161.64	0.925	26.05		
67.99	2163.06	0.909	25.58		
68.05	2164.49	0.912	25.68		
68.11	2165.91	0.921	25.93		
68.17	2167.34	0.946	26.67		
68.23	2168.76	0.952	26.86		
68.29	2170.18	0.954	26.9		
68.35	2171.61	0.952	26.85		
68.41	2173.03	0.956	26.98		
68.47	2174.46	0.959	27.05		
68.53	2175.88	0.967	27.28		
68.59	2177.31	0.966	27.27		
68.65	2178.73	0.966	27.25		
68.71	2180.15	0.967	27.3		
68.77	2181.58	0.969	27.36		
68.83	2183	0.97	27.38		
68.89	2184.43	0.974	27.49		
68.95	2185.85	0.975	27.54		
69.01	2187.28	0.978	27.61		
69.07	2188.7	0.983	27.75		
69.13	2190.82	0.981	27.72		
69.19	2192.94	0.975	27.54		
69.25	2195.05	0.962	27.16		
69.31	2197.17	0.964	27.2		
69.37	2199.29	0.96	27.08		
69.43	2201.41	0.958	27.04		
69.49	2203.53	0.951	26.83		
69.55	2205.65	0.95	26.78		
69.61	2207.76	0.957	27.01		
69.67	2209.88	0.967	27.29		
69.73	2212	0.974	27.51		
69.79	2213.91	0.975	27.53		
69.85	2215.82	0.969	27.36		
69.91	2217.73	0.965	27.24		
69.97	2219.64	0.961	27.11		
70.03	2221.55	0.968	27.31		
70.09	2223.45	0.969	27.34		
70.15	2225.36	0.969	27.34		
70.21	2227.27	0.972	27.45		
70.27	2229.18	0.971	27.42		
70.33	2231.09	0.974	27.5		
70.39	2233	0.961	27.12		
70.45	2235.13	0.971	27.4		
70.51	2237.25	0.956	26.96		
70.57	2239.38	0.958	27.04		
70.63	2241.5	0.954	26.92		
70.69	2243.63	0.949	26.75		
70.75	2245.75	0.943	26.59		
70.81	2247.88	0.942	26.55		
70.87	2250	0.941	26.52		
70.93	2252	0.939	26.48		
70.99	2254	0.941	26.54		
71.05	2256	0.953	26.87		
71.11	2258	0.961	27.11		
71.17	2260	0.971	27.42		
71.23	2261.85	0.974	27.5		
71.29	2263.71	0.969	27.35		
71.35	2265.56	0.97	27.37		
71.41	2267.42	0.968	27.32		
71.47	2269.27	0.964	27.2		
71.53	2271.13	0.966	27.27		
71.59	2272.98	0.964	27.21		
71.65	2274.84	0.967	27.28		
71.71	2276.69	0.967	27.3		
71.77	2278.55	0.963	27.19		
71.83	2280.4	0.961	27.12		
71.89	2282.25	0.96	27.09		
71.95	2284.11	0.952	26.84		
72.01	2285.96	0.951	26.83		
72.07	2287.82	0.95	26.79		
72.13	2289.67	0.95	26.79		
72.19	2291.53	0.946	26.67		
72.25	2293.38	0.946	26.69		
72.31	2295.24	0.946	26.69		
72.37	2297.09	0.958	27.02		
72.43	2298.95	0.963	27.17		
72.49	2300.8	0.972	27.43		
72.55	2303.29	0.979	27.64		
72.61	2305.79	0.974	27.51		
72.67	2308.17	0.964	27.21		
72.73	2309.93	0.952	26.85		
72.79	2311.68	0.949	26.75		
72.85	2313.44	0.947	26.7		
72.91	2315.07	0.95	26.78		
72.97	2316.67	0.955	26.95		
73.03	2318.27	0.963	27.18		
73.09	2319.87	0.968	27.32		
73.15	2321.47	0.971	27.4		
73.21	2323.07	0.979	27.66		
73.27	2324.71	0.966	27.27		
73.33	2326.52	0.958	27.04		
73.39	2328.33	0.959	27.06		
73.45	2330.14	0.955	26.93		
73.51	2332.4	0.959	27.05		
73.57	2334.75	0.963	27.19		
73.63	2337.1	0.967	27.28		
73.69	2339.65	0.981	27.72		
73.75	2342.41	0.987	27.89		
73.81	2345.18	0.985	27.83		
73.87	2347.94	0.977	27.59		
73.93	2350.7	0.975	27.53		
73.99	2353.46	0.961	27.11		
74.05	2356.22	0.958	27.04		
74.11	2358.98	0.96	27.1		
74.17	2361.73	0.957	27.01		
74.23	2364.49	0.964	27.22		
74.29	2367.13	0.97	27.38		
74.35	2369.64	0.963	27.17		
74.41	2372.16	0.972	27.44		
74.47	2374.64	0.975	27.53		
74.53	2376.94	0.974	27.49		
74.59	2379.24	0.973	27.48		
74.65	2381.54	0.972	27.44		
74.71	2383.55	0.979	27.64		
74.77	2385.5	0.979	27.66		
74.83	2387.45	0.98	27.68		
74.89	2389.22	0.977	27.59		
74.95	2390.79	0.973	27.46		
75.01	2392.36	0.972	27.44		
75.07	2393.92	0.97	27.38		
75.13	2395.45	0.968	27.32		
75.19	2396.98	0.967	27.3		
75.25	2398.51	0.966	27.26		
75.31	2399.95	0.963	27.19		
75.37	2401.37	0.966	27.26		
75.43	2402.78	0.968	27.33		
75.49	2404.2	0.969	27.36		
75.55	2405.63	0.972	27.45		
75.61	2407.05	0.974	27.51		
75.67	2408.47	0.974	27.51		
75.73	2409.89	0.968	27.33		
75.79	2411.32	0.968	27.32		
75.85	2412.74	0.97	27.39		
75.91	2414.16	0.966	27.25		
75.97	2415.58	0.973	27.46		
76.03	2417.01	0.971	27.41		
76.09	2418.43	0.971	27.4		
76.16	2420.09	0.968	27.32		
76.23	2421.75	0.97	27.38		
76.28	2422.94	0.97	27.37		
76.35	2424.6	0.971	27.4		
76.4	2425.78	0.97	27.38		
76.46	2427.2	0.97	27.38		
76.52	2428.63	0.967	27.28		
76.59	2430.29	0.964	27.21		
76.64	2431.47	0.959	27.06		
76.7	2432.9	0.956	26.96		
76.76	2434.32	0.955	26.95		
76.83	2435.98	0.943	26.58		
76.88	2437.16	0.933	26.28		
76.94	2438.59	0.924	26.04		
77	2440.01	0.929	26.18		
77.06	2441.43	0.928	26.15		
77.13	2443.09	0.937	26.4		
77.18	2444.28	0.945	26.64		
77.24	2445.7	0.946	26.67		
77.33	2447.83	0.949	26.76		
77.39	2449.26	0.938	26.45		
77.45	2450.68	0.945	26.66		
77.51	2452.1	0.95	26.78		
77.58	2453.76	0.959	27.07		
77.63	2454.95	0.958	27.04		
77.69	2456.37	0.952	26.86		
77.75	2457.79	0.958	27.04		
77.82	2459.45	0.962	27.14		
77.88	2460.88	0.968	27.32		
77.93	2462.06	0.971	27.4		
77.99	2463.63	0.969	27.34		
78.05	2465.22	0.968	27.32		
78.11	2466.81	0.965	27.24		
78.17	2468.41	0.973	27.46		
78.23	2470	0.974	27.49		
78.29	2471.59	0.977	27.59		
78.35	2473.19	0.975	27.53		
78.41	2474.78	0.972	27.44		
78.48	2476.64	0.97	27.37		
78.53	2477.96	0.972	27.44		
78.59	2479.56	0.975	27.53		
78.65	2481.15	0.977	27.6		
78.71	2482.74	0.965	27.23		
78.76	2484.07	0.956	26.97		
78.83	2485.93	0.957	26.99		
78.89	2487.52	0.951	26.83		
78.95	2489.11	0.953	26.87		
79.01	2490.71	0.952	26.84		
79.08	2492.57	0.948	26.74		
79.13	2493.89	0.953	26.89		
79.19	2495.49	0.968	27.33		
79.25	2497.08	0.975	27.53		
79.31	2498.67	0.98	27.68		
79.38	2500.65	0.982	27.74		
79.43	2502.28	0.977	27.58		
79.49	2504.23	0.972	27.44		
79.545	2506.02	0.966	27.27		
79.61	2508.14	0.958	27.03		
79.68	2510.41	0.953	26.88		
79.73	2512.04	0.963	27.19		
79.79	2513.99	0.963	27.18		
79.85	2515.95	0.947	26.71		
79.91	2517.9	0.909	25.59		
79.98	2520.04	0.904	25.45		
80.04	2521.71	0.895	25.18		
80.09	2523.11	0.875	24.59		
80.14	2524.5	0.868	24.37		
80.22	2526.74	0.875	24.58		
80.28	2528.41	0.893	25.11		
80.33	2529.81	0.899	25.3		
80.39	2531.49	0.909	25.58		
80.46	2533.44	0.935	26.34		
80.52	2535.11	0.94	26.51		
80.57	2536.51	0.926	26.08		
80.63	2538.19	0.933	26.28		
80.69	2539.86	0.941	26.52		
80.76	2541.82	0.946	26.67		
80.82	2543.49	0.965	27.24		
80.88	2545.17	0.978	27.63		
80.94	2546.84	0.983	27.76		
80.99	2548.57	0.985	27.83		
81.06	2551.28	0.975	27.53		
81.11	2553.23	0.969	27.35		
81.17	2555.56	0.959	27.07		
81.23	2557.89	0.963	27.18		
81.29	2560.22	0.959	27.07		
81.345	2562.36	0.96	27.08		
81.42	2565.27	0.966	27.25		
81.48	2567.6	0.976	27.55		
81.54	2569.93	0.979	27.64		
81.59	2571.87	0.977	27.59		
81.645	2574.01	0.972	27.45		
81.71	2576.54	0.975	27.53		
81.78	2579.26	0.974	27.49		
81.83	2581.2	0.975	27.54		
81.89	2583.53	0.978	27.62		
81.95	2585.86	0.985	27.81		
82.02	2588.58	0.983	27.77		
82.08	2590.91	0.975	27.54		
82.13	2592.85	0.969	27.36		
82.185	2594.99	0.964	27.2		
82.26	2597.9	0.959	27.07		
82.31	2599.85	0.951	26.83		
82.38	2604.2	0.939	26.48		
82.43	2608.87	0.936	26.38		
82.49	2614.47	0.938	26.43		
82.56	2621	0.954	26.91		
82.62	2623.61	0.951	26.83		
82.68	2626.22	0.951	26.81		
82.73	2628.4	0.938	26.45		
82.79	2630.57	0.928	26.16		
82.85	2632.31	0.947	26.71		
82.91	2634.05	0.952	26.86		
82.98	2635.87	0.955	26.94		
83.03	2636.81	0.954	26.92		
83.09	2637.93	0.956	26.96		
83.145	2638.95	0.957	26.99		
83.22	2640.35	0.962	27.16		
83.28	2641.47	0.964	27.2		
83.33	2642.4	0.962	27.15		
83.39	2643.52	0.952	26.85		
83.46	2644.83	0.944	26.62		
83.505	2646.41	0.945	26.66		
83.57	2649.55	0.954	26.9		
83.63	2652.44	0.961	27.13		
83.69	2655.34	0.967	27.3		
83.745	2658	0.972	27.44		
83.82	2661.62	0.98	27.67		
83.88	2664.52	0.972	27.44		
83.93	2666.93	0.962	27.15		
83.99	2669.83	0.955	26.94		
84.045	2672.49	0.959	27.07		
84.11	2675.63	0.969	27.34		
84.18	2679.01	0.975	27.53		
84.24	2681.9	0.978	27.61		
84.29	2684.32	0.971	27.42		
84.35	2687.22	0.961	27.13		
84.42	2689.13	0.958	27.03		
84.48	2690.56	0.949	26.75		
84.53	2691.76	0.949	26.76		
84.59	2693.19	0.959	27.07		
84.645	2694.5	0.964	27.2		
84.71	2696.05	0.975	27.53		
